,TIME,FLUX,FLUX_ERR
33,56210.621659951394,0.09472079,0.004354963
34,56216.4966679954,0.15421010000000002,0.01057806
35,56277.7121215087,0.09569063,0.007088068
36,56283.88708930441,0.09622342,0.007829165
37,56453.885411537005,0.08180754,0.008305579
38,56454.4499082859,0.0806576,0.007847756
39,56455.6500093183,0.08466968,0.00871416
40,56456.0843830336,0.0747738,0.007302896999999999
41,56457.057537699104,0.08803553,0.008552749
42,56458.1920494838,0.0811041,0.0084425
43,56459.12013364,0.07670691,0.007942469
44,56460.792651213,0.08837063,0.00670317
45,56461.3883257975,0.10097830000000001,0.009630002
46,56462.520834607596,0.0901362,0.007543054
47,56463.8616336713,0.0830178,0.008424566999999999
48,56464.8303889271,0.07556163,0.007933448000000001
49,56465.8645426563,0.07634734,0.00874843
50,56466.1250385937,0.08334047,0.008661361999999999
51,56467.1271221134,0.06890532,0.008022465
52,56468.2593398819,0.07573982,0.008345373
53,56469.063521272,0.08674505,0.01037664
54,56470.492463023096,0.07186453,0.0076137869999999995
55,56471.0618823981,0.06980512,0.01030319
56,56472.199033163204,0.08510711,0.008583419
57,56473.9307677257,0.07376453,0.007985963
58,56474.137820966396,0.08291702,0.008436005
59,56475.933335680595,0.07137469,0.007077649
60,56476.939897903896,0.07424918,0.007597624
61,56477.9344487049,0.07016405,0.007706203000000001
62,56478.241246147,0.07125453,0.007807216
63,56479.6707152002,0.05116641,0.006719143
64,56480.935525664405,0.07498927,0.008467153
65,56482.0104027732,0.05600934,0.007705618000000001
66,56484.9469564688,0.05208538,0.007136666999999999
67,56486.1093114595,0.07982323,0.007920476
68,56488.9477031759,0.08969121,0.008724855
69,56490.6178317558,0.06268166,0.01133189
70,56492.88283686231,0.08268042,0.00918158
71,56494.052700925895,0.10138319999999999,0.01117984
72,56496.820977352996,0.07728903,0.008281624
73,56504.8234632326,0.06579847,0.01216977
74,56505.9201627014,0.05929522,0.007358931
75,56506.68505992481,0.0890254,0.008748806999999999
76,56507.3874955046,0.08891269,0.01104922
77,56508.958309730304,0.07741791,0.007840688
78,56509.321529788205,0.08629803,0.009473459
79,56510.9906159942,0.06803594,0.007843085
80,56511.25206025349,0.08475837,0.008501401
81,56512.790962466395,0.07850863,0.008371154
82,56513.0553372581,0.06132191,0.01072106
83,56514.18971056941,0.07858673,0.008527659
84,56515.6578596227,0.10115199999999999,0.009404939000000001
85,56516.927778605306,0.08341489,0.01758138
86,56517.9252101921,0.05746052,0.0094996
87,56518.1305753194,0.09249658,0.009061248000000001
88,56519.4869929954,0.09078153,0.01096166
89,56520.731947707194,0.09674705,0.01070385
90,56521.9278802546,0.08340895,0.008529137
91,56522.86556880901,0.09347139,0.009006697
92,56523.8031294699,0.09989364,0.009002082
93,56524.6975632442,0.10887000000000001,0.009362005999999999
94,56525.823725606504,0.11404660000000001,0.009984306
95,56526.69401989,0.07251001,0.01111248
96,56527.945126175895,0.09824824,0.01938896
97,56528.8731860613,0.11617839999999999,0.01348569
98,56529.2807048461,0.1145565,0.009800978
99,56530.943901143495,0.07190184,0.01182155
100,56531.31611587731,0.09460035,0.009051006
101,56532.08192337849,0.08589471,0.008740429000000001
102,56533.549275059006,0.09296217,0.009605322
103,56534.11172798731,0.0770642,0.007736734
104,56535.8846411725,0.09212143,0.01611976
