,TIME,FLUX,FLUX_ERR
22,56535.879849537,0.1269803372166036,0.0007651390628374744
62,56537.2138773148,0.31314783092722637,0.0017810827472836148
157,56538.3356944444,0.19600775797762393,0.0008748353656896354
107,56539.3367824074,0.049506457015091,0.00018576051138563846
320,56540.5333217593,0.038384308553254434,0.00012449865449378568
129,56541.5354050926,0.046519710415083515,0.00020384946256677246
105,56542.8013773148,0.17522911535885125,0.0007527591568030396
272,56543.5374884259,0.0429959138306433,0.00016978423855385305
33,56546.3430439815,0.2471883132624363,0.0010821394923715524
291,56554.8409606482,0.23497368086110118,0.0009880514757212295
10,56556.0395717593,0.03452319666053841,0.00014119500838861426
182,56558.0388773148,0.3030039343153274,0.001446430367056142
56,56560.1721990741,0.08079047417150848,0.001048043484112127
300,56562.1124768518,0.2934655280885594,0.0013033507443892009
369,56564.9827546296,0.03975421522991006,0.0001983512970937944
79,56566.5083217593,0.32537700702793076,0.0014333828496244222
303,56568.642349537,0.035216309609327805,0.00011763546535428761
251,56570.8489814815,0.19632383517775492,0.0009228203958482873
354,56572.8444328704,0.05064412341451381,0.0001694490580175812
249,56574.8619675926,0.2132605247931142,0.002027287767938338
123,56576.598599537,0.034480873346197635,0.00012913529165171228
383,56578.6479050926,0.209690962149448,0.0007695591458836703
27,56584.8603935185,0.032494556867871116,0.00012166563864162581
172,56586.7916550926,0.294778510351611,0.0016445467914016014
113,56590.2597106481,0.1737216480973246,0.0007943313404307417
410,56594.5326273148,0.30208203572205045,0.0014751488041573957
290,56598.4062384259,0.1726750969279462,0.000790259960611216
101,56610.9737847222,0.09383356215498016,0.0015200889126263278
122,56614.498599537,0.349203107174298,0.0019063842017035832
404,56618.6944328704,0.28030241826995334,0.0014971858189570001
73,56622.7617939815,0.23338050636511673,0.0010717915383762562
191,56626.636099537,0.26616357180103156,0.0012491126542867113
180,56630.2972106481,0.2318707617768491,0.0016855899820510216
77,56635.1763773148,0.21871024775181672,0.0016345912387025546
406,56638.0354050926,0.2707135943746205,0.0016758471576748903
162,56642.1027662037,0.10938615622676764,0.0004067053639949374
199,56646.3104050926,0.19655973367420568,0.0008432846161265484
409,56650.111099537,0.08410348283244072,0.00033730898896890924
317,56658.473599537,0.3633611,0.0020090169164677252
356,56662.8694328704,0.31400535104737276,0.0016323276380163791
368,56666.8659606481,0.18446895594391158,0.001707079236819524
189,56670.8076273148,0.17964655282511266,0.0007035439157513805
380,56674.2711921296,0.2847211881482997,0.0017859740165002088
391,56678.5416435185,0.18076259317187407,0.0007828377576202631
309,56682.0041550926,0.06663208600910578,0.00023509706742951548
63,56720.2937384259,0.029740925022866883,0.0001062877083459998
87,56724.3583217593,0.03728781526393112,0.00011044868152223067
405,56728.2291435185,0.025726111170664437,0.00013994228740452932
38,56732.4937268519,0.03549328709061702,0.0001562930355007253
307,56736.5034490741,0.04100185007089081,0.00013005078250033673
318,56740.6367939815,0.033885135508323734,0.00014481320740832943
308,56744.4965046296,0.033983075057578305,0.00017061265186426423
357,56748.754837963,0.0370360292236555,0.0001858856022117164
118,56752.0840162037,0.03513905423810625,0.00015948218922679294
150,56764.1083101852,0.03857030870872486,0.00012933305334049923
124,56768.0458217593,0.03541702312239853,0.0002178686373966102
304,56772.0326273148,0.03546921159640284,0.00014415275929152542
1,56776.1624884259,0.032464552019372796,0.00011548976389692218
2,56780.3576273148,0.027847893851989845,9.110730121842877e-05
241,56784.754849537,0.0425782737856993,0.00018114968974071685
361,56788.0187384259,0.03309397098276422,0.00014999801600577264
